time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010530349642	180.135	35.1369	4.2212	0.312509	0.0151185	lidar	0.53836	180.145	35.1423	179.799	35.1289	2.47883	0.732949
1477010530349642	180.007	35.1202	2.8963	0.378501	0.108011	radar	3.6779	179.543	35.4767	179.799	35.1289	2.47883	0.732949
1477010531349642	182.594	35.7571	3.29779	0.164464	-0.0956068	lidar	0.183414	182.599	35.753	182.292	35.8114	2.42515	0.611338
1477010531349642	182.497	35.7348	2.67152	0.145438	-0.113255	radar	1.98459	182.047	36.2626	182.292	35.8114	2.42515	0.611338
1477010532349642	184.732	36.5083	2.81488	0.395671	0.116803	lidar	0.186421	184.732	36.5155	184.73	36.37	2.36226	0.487877
1477010532349642	184.729	36.5108	2.43968	0.425058	0.153773	radar	0.147554	184.833	36.1451	184.73	36.37	2.36226	0.487877
1477010533349642	186.939	36.9484	2.75749	0.0915032	-0.154199	lidar	0.36722	186.946	36.9404	187.103	36.804	2.29017	0.365145
1477010533349642	186.998	36.9555	2.62277	0.0486162	-0.19289	radar	1.1806	187.296	36.9375	187.103	36.804	2.29017	0.365145
1477010534349642	189.462	37.3981	3.10962	0.215971	0.0339269	lidar	0.22881	189.465	37.4052	189.401	37.1147	2.20928	0.245623
1477010534349642	189.479	37.4061	2.46287	0.269292	0.0744945	radar	0.819617	189.738	36.951	189.401	37.1147	2.20928	0.245623
1477010535349642	191.731	37.5696	2.73092	-0.0103952	-0.148394	lidar	0.186855	191.735	37.5631	191.615	37.3064	2.12037	0.131591
1477010535349642	191.697	37.559	2.3432	-0.0346929	-0.182109	radar	0.291624	191.682	37.1147	191.615	37.3064	2.12037	0.131591
1477010536349642	193.473	37.2785	2.11567	-0.198768	-0.17107	lidar	0.0102899	193.471	37.2789	193.738	37.3853	2.02462	0.0250452
1477010536349642	193.499	37.2841	2.2503	-0.189854	-0.152303	radar	0.124071	193.555	37.4234	193.738	37.3853	2.02462	0.0250452
1477010537349642	195.98	37.3888	3.35754	0.227137	0.198961	lidar	0.738058	195.991	37.3991	195.762	37.3598	1.92349	-0.072386
1477010537349642	195.825	37.3961	2.29959	0.287133	0.273987	radar	4.34248	195.507	37.4891	195.762	37.3598	1.92349	-0.072386
1477010538349642	197.722	37.7354	2.3401	0.218563	0.0628539	lidar	0.15359	197.725	37.7285	197.683	37.2395	1.81869	-0.159495
1477010538349642	197.674	37.7248	2.03265	0.205762	0.055473	radar	0.487385	197.582	37.303	197.683	37.2395	1.81869	-0.159495
1477010539349642	199.293	37.3019	1.74216	-0.391123	-0.348421	lidar	0.590678	199.294	37.2862	199.497	37.0353	1.71212	-0.235529
1477010539349642	199.311	37.3093	1.92535	-0.361997	-0.308699	radar	0.0857965	199.356	37.3527	199.497	37.0353	1.71212	-0.235529
